Listing Name,Price,Room Type,Reviews,Location
Spacious w/ Private Rooftop!,76,Private room,14 reviews,"Williamsburg, Brooklyn"
Williamsburg Bed Steps to Bedford L,45,Private room,1 review,"Williamsburg, Brooklyn"
"Sunlit, spacious Bushwick studio",45,Entire home/apt,10 reviews,"Bushwick, Brooklyn"
Penthouse w Patio & Million-$-View!,133,Entire home/apt,20 reviews,"Bushwick, Brooklyn"
Beautiful room attached to bathroom,71,Private room,34 reviews,"Greenpoint, Brooklyn"
Spacious sunny bedroom,45,Private room,"Flatbush, New York",
PRIVATE ROOM STEPS FROM L TRAIN,50,Private room,10 reviews,"Williamsburg, Brooklyn"
Beautiful 1 Bedroom,90,Entire home/apt,14 reviews,"Prospect Heights, Brooklyn"
Cute lil room in a charming bk apt,77,Private room,11 reviews,"Williamsburg, Brooklyn"
Artsy apt in heart of Williamsburg,81,Entire home/apt,31 reviews,"Williamsburg, Brooklyn"
Fab Brooklyn loft with great views,145,Entire home/apt,8 reviews,"Carroll Gardens, Brooklyn"
Newest Building in Williamsburg #2,92,Private room,9 reviews,"Williamsburg, Brooklyn"
Quintessential Brooklyn...!!,98,Entire home/apt,11 reviews,"Boerum Hill, Brooklyn"
A bedroom with a sunroom!,137,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
Directly Across from Prospect Park!,53,Private room,60 reviews,Brooklyn
Sunny Room in Bushwick Paradise,81,Private room,"Bushwick, Brooklyn",
Stunning! Williamsburg Dream Room.,99,Private room,55 reviews,"Williamsburg, Brooklyn"
Brooklyn Zen,136,Entire home/apt,14 reviews,"Brooklyn Heights, Brooklyn"
2br apt in Williamsburg!,126,Entire home/apt,1 review,"Williamsburg, Brooklyn"
"Sun drenched home, corner of park",49,Private room,5 reviews,"Fort Greene, Brooklyn"
Huge bedroom! One block from subway,33,Private room,34 reviews,"Midwood, Brooklyn"
A Brooklyn Home Away From Home,50,Private room,51 reviews,"Bedford-Stuyvesant, Brooklyn"
Cozy KING Size Bed in Brooklyn,50,Private room,38 reviews,"East New York, Brooklyn"
Experience NYC For $26 Per Night!,24,Shared room,56 reviews,"Bedford-Stuyvesant, Brooklyn"
Place (Room),53,Private room,58 reviews,"Bedford-Stuyvesant, Brooklyn"
*** BEST APT EVER!!-AVAILABLE NOW!,93,Private room,31 reviews,"Williamsburg, Brooklyn"
Brownstone in Brooklyn,153,Entire home/apt,8 reviews,"Clinton Hill, Brooklyn"
Luxury Fort Greene Brooklyn Apt,144,Entire home/apt,3 reviews,"Fort Greene, Brooklyn"
SUNNY ROOM A- 15 MINUTES >MANHATTAN,71,Private room,17 reviews,"Bushwick, Brooklyn"
"Cozy, Cool, and Budget-Friendly",54,Private room,4 reviews,"Flatbush, Brooklyn"
Downtown Brooklyn Living,67,Private room,18 reviews,"Downtown Brooklyn, Brooklyn"
Unique SHARED Rm 4 Single & Groups|,35,Shared room,8 reviews,"Williamsburg, Brooklyn"
"Lovely Park Slope Apt, Brooklyn",95,Private room,22 reviews,"Park Slope, Brooklyn"
Beds Bikes Breakfast (on the Park2),41,Private room,27 reviews,"Flatbush, Brooklyn"
Designer Studio Apt in Red Hook,90,Entire home/apt,46 reviews,"Red Hook, Brooklyn"
The Library Loft- The Art Room,41,Private room,13 reviews,"Williamsburg, Brooklyn"
Sunny room in W'burg Penthouse Apt,62,Private room,3 reviews,"Williamsburg, Brooklyn"
Private 1BR @ Spacious Sunny Duplex,59,Private room,9 reviews,"Bushwick, Brooklyn"
Option of 2 Beds + Private Bathroom,52,Private room,39 reviews,"Bushwick, Brooklyn"
spacious studio apartment,86,Entire home/apt,113 reviews,"Greenpoint, Brooklyn"
Brand New Brooklyn studio,118,Entire home/apt,3 reviews,"Crown Heights, Brooklyn"
Gorgeous Apartment in Williamsburg,135,Entire home/apt,34 reviews,"Williamsburg, Brooklyn"
The Black and White Loft,61,Private room,4 reviews,"Williamsburg, Brooklyn"
Bedroom in the heart of Williamburg,86,Private room,11 reviews,"Williamsburg, Brooklyn"
Lovely room on a new brand loft,50,Private room,"Greenpoint, Brooklyn",
PRIVATE and SUNNY Williamsburg Apt!,126,Entire home/apt,145 reviews,"Williamsburg, Brooklyn"
Large Williamsburg Loft Apartment,181,Entire home/apt,36 reviews,"Williamsburg, Brooklyn"
Quirky Duplex - Historic Park Slope,68,Private room,41 reviews,"Park Slope, Brooklyn"
Private room with sleeping loft,41,Private room,14 reviews,"Williamsburg, Brooklyn"
The Notorious B.N.B. { Erhart },216,Private room,48 reviews,"Clinton Hill, Brooklyn"
Beds Bikes Breakfast on The Park,41,Private room,7 reviews,"Flatbush, Brooklyn"
*PRIME LOCATION* STEPS TO L TRAIN,77,Private room,16 reviews,"Williamsburg, Brooklyn"
THE PRESIDENT'S SUITE,81,Private room,8 reviews,"Williamsburg, Brooklyn"
Sunny Private Room in Williamsburg!,45,Private room,17 reviews,"Williamsburg, Brooklyn"
Private Room & Bath in Brooklyn!,77,Private room,40 reviews,Brooklyn
Private room in East Williamsburg,36,Private room,4 reviews,"Williamsburg, Brooklyn"
Winter Special! Charming 3bdrm Loft,136,Entire home/apt,2 reviews,"Bushwick, Brooklyn"
One Bdrm in Trendy Prospect Hts,108,Entire home/apt,33 reviews,"Prospect Heights, Brooklyn"
"Sun-filled, Quiet, Eclectic apt",66,Private room,1 review,"Park Slope, Brooklyn"
Single private room in townhouse,44,Private room,3 reviews,"Brooklyn Navy Yard, Brooklyn"
Spacious 1 Bedroom in Fort Greene,126,Entire home/apt,57 reviews,"Fort Greene, Brooklyn"
Cozy Room With private 1/2 bath,54,Private room,102 reviews,"Park Slope, Brooklyn"
The Wyckoff,77,Private room,7 reviews,"Bushwick, Brooklyn"
"Great location, cozy, near F, G, R!",127,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
Sunny Private Room in Brooklyn,54,Private room,15 reviews,"Crown Heights, Brooklyn"
Williamsburg 1 block from L Train,61,Private room,58 reviews,"Williamsburg, Brooklyn"
Bright Peaceful 1 bedroom 2 bath,158,Entire home/apt,1 review,"Park Slope, Brooklyn"
Bright Room in Williamsburg,50,Private room,1 review,"Williamsburg, Brooklyn"
Lively loft II!,53,Private room,26 reviews,"Williamsburg, Brooklyn"
Your OWN Private Garden Apartment,109,Entire home/apt,14 reviews,"Clinton Hill, Brooklyn"
Great spot right on Bedford Ave!,54,Private room,19 reviews,"Williamsburg, Brooklyn"
Awesome Room in Prime Brooklyn Spot,54,Private room,6 reviews,Brooklyn
LG Private Room/Family Friendly,68,Private room,28 reviews,"Bushwick, Brooklyn"
"QUIET, QUAINT & BEAUTIFUL LOFT",99,Private room,20 reviews,"Williamsburg, Brooklyn"
Brooklyn NY Studio，Private Bathroom,54,Private room,3 reviews,"Bay Ridge, Brooklyn"
"♥ of Williamsburg, Private Entrance",117,Private room,52 reviews,"Williamsburg, Brooklyn"
Brooklyn's Best - Fort Greene,77,Entire home/apt,1 review,"Fort Greene, Brooklyn"
Large Bright Modern Room w Rooftop,41,Private room,"Bedford-Stuyvesant, Brooklyn",
"Big WBurg Rm, 5 min from L, Fits 4!",71,Private room,6 reviews,"Williamsburg, Brooklyn"
Entire Modern Loft with Balcony,99,Entire home/apt,52 reviews,"Bedford-Stuyvesant, Brooklyn"
Sunny room in modern apartment,62,Private room,13 reviews,"Crown Heights, Brooklyn"
Sunny loft in Bushwick - Morgan L,81,Private room,23 reviews,"Bushwick, Brooklyn"
Cozy KING Size Bed in Brooklyn,50,Private room,38 reviews,"East New York, Brooklyn"
Amazing 1 bed in Williamsburg,122,Entire home/apt,"Williamsburg, Brooklyn",
Sunny Bedroom in 4500 sqf Loft,59,Private room,8 reviews,"Bushwick, Brooklyn"
Room in the heart of Williamsburg,49,Private room,2 reviews,"Williamsburg, Brooklyn"
PRIVATE SUITE in Williamsburg BK,72,Private room,3 reviews,"Williamsburg, Brooklyn"
Private Room in W'burg Penthouse,50,Private room,5 reviews,"Williamsburg, Brooklyn"
Beautiful Historic Brooklyn Apt,41,Private room,2 reviews,"Bay Ridge, Brooklyn"
Williamsburg Cozy Private Room,68,Private room,3 reviews,"Williamsburg, Brooklyn"
Prime location in Williamsburg,77,Private room,34 reviews,"Williamsburg, Brooklyn"
Cute + Cozy: Park Slope One Bedroom,122,Entire home/apt,3 reviews,"Park Slope, Brooklyn"
A bedroom with a sunroom!,137,Entire home/apt,7 reviews,"Fort Greene, Brooklyn"
Large Bedroom with kitchenette,109,Private room,26 reviews,"Prospect Heights, Brooklyn"
Fort Greene brownstone,72,Private room,68 reviews,"Fort Greene, Brooklyn"
Place (Room),53,Private room,58 reviews,"Bedford-Stuyvesant, Brooklyn"
New listing! Bk artist loft.,127,Entire home/apt,6 reviews,"Bushwick, Brooklyn"
Farmhouse with backyard chickens,72,Private room,5 reviews,"Flatbush, Brooklyn"
Brownstone apt in storybook setting,109,Private room,11 reviews,"Park Slope, Brooklyn"
2 STORY DUPLEX PRIME WILLIAMSBURG,90,Entire home/apt,4 reviews,"Williamsburg, Brooklyn"
Huge Sunny room just off bedford,59,Private room,46 reviews,"Williamsburg, Brooklyn"
Bright Sunny 8x13 Williamsburg Room,70,Private room,5 reviews,"Williamsburg, Brooklyn"
Sunny one bedroom loft apartment,135,Entire home/apt,9 reviews,"Williamsburg, Brooklyn"
Heart of Wberg Private Room 1E,72,Private room,18 reviews,"Williamsburg, Brooklyn"
"Fort Greene, Brooklyn 1 Bedroom Apt",152,Entire home/apt,19 reviews,"Fort Greene, Brooklyn"
Beautiful & Quiet Williamsburg Apt,90,Entire home/apt,67 reviews,"Williamsburg, Brooklyn"
Luxury 1 Bedroom in Williamsburg,172,Entire home/apt,20 reviews,"Williamsburg, Brooklyn"
Rm Available in Central Ft Greene,86,Private room,10 reviews,"Fort Greene, Brooklyn"
Spacious loft in Downtown Brooklyn,89,Private room,55 reviews,"Downtown Brooklyn, Brooklyn"
"Sunny brownstone room, Ft. Greene",86,Private room,2 reviews,"Fort Greene, Brooklyn"
"NYC, Modern & Comfortable. THE ONE",180,Entire home/apt,56 reviews,"Williamsburg, Brooklyn"
The Real Cool Large Private Deal,199,Entire home/apt,90 reviews,"Williamsburg, Brooklyn"
Spacious & Comfy Bushwick Walk-Up,52,Private room,1 review,"Bushwick, Brooklyn"
Cozy Room - Great Brooklyn Location,63,Private room,27 reviews,"Prospect Heights, Brooklyn"
Spacious 1BR NYC home base in BKLN!,88,Entire home/apt,8 reviews,"Park Slope, Brooklyn"
E Williamsburg Apartment with Yard!,45,Private room,35 reviews,"Williamsburg, Brooklyn"
